id,name,code,unit,status,description,invoice,created_at,updated_at,pricing_schema,metadata
1310912,Oferta 1 Real,3ffeacf2-859f-46c2-9a76-7f5c004e47ac,,active,Oferta de 1 real para validar integração gateway e adquirência,always,2023-05-17T13:53:20.000-03:00,2023-05-17T13:53:20.000-03:00,"{'id': 35507348, 'short_format': 'R$ 1,00', 'price': '1.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-05-17T13:53:20.000-03:00'}",{}
1311394,Oferta 3 reais,3f90575c-3596-4c3f-bf50-7ccb98912a53,,active,oferta de 3 reais para validar integração gateway e adquirência,always,2023-05-18T11:23:14.000-03:00,2023-05-18T11:23:14.000-03:00,"{'id': 35532622, 'short_format': 'R$ 3,00', 'price': '3.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-05-18T11:23:14.000-03:00'}",{}
1314498,EQ+ 1 vaga,e5be0ff6-aa84-4734-97ed-f75422d4cfb5,,active,Adquire agora mesmo 1 vaga para imersão de 2 dias.,always,2023-05-26T15:44:50.000-03:00,2023-05-26T15:44:50.000-03:00,"{'id': 36066627, 'short_format': 'R$ 18.000,00', 'price': '18000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-05-26T15:44:50.000-03:00'}",{}
1314961,EQ+ 1 vaga,d337c07f-f294-41fb-a7ae-4c255e2d1398,,active,Adquire agora mesmo 1 vaga para imersão de 2 dias.,always,2023-05-29T11:49:25.000-03:00,2023-05-29T11:49:25.000-03:00,"{'id': 36152696, 'short_format': 'R$ 18.000,00', 'price': '18000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-05-29T11:49:25.000-03:00'}",{}
1318022,Titulo de exemplo,0dded223-390b-49ec-8589-15ffc2525e05,,active,asdh iuasgd asuygfdyuf gasyufd aus,always,2023-06-05T18:39:33.000-03:00,2023-06-05T18:39:33.000-03:00,"{'id': 36387103, 'short_format': 'R$ 54.000,00', 'price': '54000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-05T18:39:33.000-03:00'}",{}
1318025,Equity+ (1 cadeira),83546b2d-c6bb-43ab-aaa2-939800fefcf2,,active,"Uma cadeira para a imersão de 2 dias com Thiago Nigro, Rodrigo Gianotto e convidados para alavancar o seu negócio impulsionando a sua cultura, gestão, marketing e vendas.",always,2023-06-05T18:42:24.000-03:00,2023-06-05T18:42:24.000-03:00,"{'id': 36387204, 'short_format': 'R$ 18.000,00', 'price': '18000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-05T18:42:24.000-03:00'}",{}
1318147,Equity+ (2 cadeiras),08ac2e89-1a3d-4978-a268-1f7dac1b7664,,active,"Uma cadeira para a imersão de 2 dias com Thiago Nigro, Rodrigo Gianotto e convidados para alavancar o seu negócio impulsionando a sua cultura, gestão, marketing e vendas.",always,2023-06-06T09:25:21.000-03:00,2023-06-06T09:25:21.000-03:00,"{'id': 36399357, 'short_format': 'R$ 36.000,00', 'price': '36000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-06T09:25:21.000-03:00'}",{}
1318148,Equity+ (3 cadeiras),4875798a-25ef-4032-82cf-9c4f9a96338e,,active,"Três cadeiras para a imersão de 2 dias com Thiago Nigro, Rodrigo Gianotto e convidados para alavancar o seu negócio impulsionando a sua cultura, gestão, marketing e vendas.",always,2023-06-06T09:26:02.000-03:00,2023-06-06T09:26:02.000-03:00,"{'id': 36399381, 'short_format': 'R$ 54.000,00', 'price': '54000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-06T09:26:02.000-03:00'}",{}
1318152,Equity+ (4 cadeiras),c9ad506b-296d-4283-b30b-02cd56e58ba5,,active,"Quatro cadeiras para a imersão de 2 dias com Thiago Nigro, Rodrigo Gianotto e convidados para alavancar o seu negócio impulsionando a sua cultura, gestão, marketing e vendas.",always,2023-06-06T09:28:49.000-03:00,2023-06-06T09:28:49.000-03:00,"{'id': 36399556, 'short_format': 'R$ 72.000,00', 'price': '72000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-06T09:28:49.000-03:00'}",{}
1318164,Equity+ (5 cadeiras),ee5c1df7-e211-4d01-9e9c-9f9218ee3c26,,active,"Cinco cadeiras para a imersão de 2 dias com Thiago Nigro, Rodrigo Gianotto e convidados para alavancar o seu negócio impulsionando a sua cultura, gestão, marketing e vendas.",always,2023-06-06T09:56:49.000-03:00,2023-06-06T09:56:49.000-03:00,"{'id': 36401255, 'short_format': 'R$ 90.000,00', 'price': '90000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-06T09:56:49.000-03:00'}",{}
1324852,1 vaga para mentoria,16410c71-d3ab-44b2-b406-e11a7d17ead7,,active,,always,2023-06-27T11:16:53.000-03:00,2023-06-27T11:16:53.000-03:00,"{'id': 37193811, 'short_format': 'R$ 100.000,00', 'price': '100000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-27T11:16:53.000-03:00'}",{}
1325095,1 vaga para mentoria,bd96e28e-1f96-450b-9948-7406b737fa49,,active,,always,2023-06-27T17:40:13.000-03:00,2023-06-27T17:40:13.000-03:00,"{'id': 37210769, 'short_format': 'R$ 10.000,00', 'price': '10000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-06-27T17:40:13.000-03:00'}",{}
1327306,Ancord AAI - Curso Preparatório para Certificação Ancord AAI,69f44c07-098d-463e-8a59-87f1cbe2e655,,active,,always,2023-07-03T16:51:07.000-03:00,2023-07-03T16:51:07.000-03:00,"{'id': 37630250, 'short_format': 'R$ 597,00', 'price': '597.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-07-03T16:51:07.000-03:00'}",{}
1334618,Condição Especial,577ed32d-81e7-426f-b553-748fedac33ba,,active,,always,2023-07-19T14:49:18.000-03:00,2023-07-19T14:49:18.000-03:00,"{'id': 38275673, 'short_format': 'R$ 18.000,00', 'price': '18000.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-07-19T14:49:18.000-03:00'}",{}
1335758,assinatura anual,15ecf028-08eb-4152-9656-d46309bd4c66,,active,,always,2023-07-21T14:01:17.000-03:00,2023-07-21T14:01:17.000-03:00,"{'id': 38341436, 'short_format': 'R$ 1.350,00', 'price': '1350.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-07-21T14:01:17.000-03:00'}",{}
1336617,Oferta 1 Topinvest,9603bb70-4d92-49c8-aedf-936be2eca22f,,active,Oferta de 1 real para validar integração gateway e adquirência,always,2023-07-24T17:51:48.000-03:00,2023-07-24T17:51:48.000-03:00,"{'id': 38426606, 'short_format': 'R$ 1,00', 'price': '1.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-07-24T17:51:48.000-03:00'}",{}
1343345,Assinatura Prestige Mensal,de0c7733-e073-459c-a9a5-d7aa4b314c2d,,active,Assinatura Prestige Mensal,always,2023-08-04T14:34:19.000-03:00,2023-08-04T14:34:19.000-03:00,"{'id': 38994768, 'short_format': 'R$ 197,00', 'price': '197.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2023-08-04T14:34:19.000-03:00'}",{}
